2018-12-29 10:48:55:359 CN: new_year_set, uid:1012s168p5193781, accumulative success, id:2
2018-12-29 10:48:59:908 CN: new_year_set, uid:1012s168p5193781, accumulative success, id:5
2018-12-29 11:51:20:759 CN: new_year_set, uid:1005s171p1939399, accumulative success, id:2
2018-12-29 11:51:23:536 CN: new_year_set, uid:1005s171p1939399, accumulative success, id:5
2018-12-29 13:08:09:963 CN: new_year_set, uid:1005s172p1947567, accumulative success, id:2
2018-12-29 13:08:11:272 CN: new_year_set, uid:1005s172p1947567, accumulative success, id:5
2018-12-29 13:14:52:379 CN: new_year_set, uid:1012s172p1941134, accumulative success, id:2
2018-12-29 13:14:53:724 CN: new_year_set, uid:1012s172p1941134, accumulative success, id:5
2018-12-29 13:42:23:797 CN: new_year_set, uid:1012s171p2101129, accumulative success, id:2
2018-12-29 13:42:45:228 CN: new_year_set, uid:1012s171p2101129, accumulative success, id:5
2018-12-29 13:51:04:084 CN: new_year_set, uid:1012s168p3777619, accumulative success, id:2
2018-12-29 13:51:05:738 CN: new_year_set, uid:1012s168p3777619, accumulative success, id:5
2018-12-29 14:14:04:945 CN: new_year_set, uid:1012s169p1912727, accumulative success, id:2
2018-12-29 14:14:08:426 CN: new_year_set, uid:1012s169p1912727, accumulative success, id:5
2018-12-29 14:45:09:967 CN: new_year_set, uid:1006s172p1946605, accumulative success, id:2
2018-12-29 15:24:12:602 CN: new_year_set, uid:1008s167p1896726, accumulative success, id:2
2018-12-29 15:24:16:738 CN: new_year_set, uid:1008s167p1896726, accumulative success, id:5
2018-12-29 15:46:58:417 CN: new_year_set, uid:1008s172p3073988, accumulative success, id:2
2018-12-29 15:47:01:026 CN: new_year_set, uid:1008s172p3073988, accumulative success, id:5
2018-12-29 15:53:33:947 CN: new_year_set, uid:1011s169p1914324, accumulative success, id:2
2018-12-29 15:53:36:333 CN: new_year_set, uid:1011s169p1914324, accumulative success, id:5
2018-12-29 16:03:27:792 CN: new_year_set, uid:1004s168p1921775, accumulative success, id:2
2018-12-29 16:03:34:479 CN: new_year_set, uid:1004s168p1921775, accumulative success, id:5
2018-12-29 16:06:47:859 CN: new_year_set, uid:1011s167p1901847, accumulative success, id:2
2018-12-29 16:06:50:939 CN: new_year_set, uid:1011s167p1901847, accumulative success, id:5
2018-12-29 16:15:03:729 CN: new_year_set, uid:1012s175p2009313, accumulative success, id:2
2018-12-29 16:15:05:491 CN: new_year_set, uid:1012s175p2009313, accumulative success, id:5
2018-12-29 16:15:21:796 CN: new_year_set, uid:1006s174p1953694, accumulative success, id:2
2018-12-29 16:15:25:714 CN: new_year_set, uid:1006s174p1953694, accumulative success, id:5
2018-12-29 16:58:56:106 CN: new_year_set, uid:1008s172p1953974, accumulative success, id:2
2018-12-29 16:58:59:508 CN: new_year_set, uid:1008s172p1953974, accumulative success, id:5
2018-12-29 16:59:20:409 CN: new_year_set, uid:1004s174p1967576, accumulative success, id:2
2018-12-29 16:59:21:859 CN: new_year_set, uid:1004s174p1967576, accumulative success, id:5
2018-12-29 17:35:33:595 CN: new_year_set, uid:1012s172p1964679, accumulative success, id:2
