2018-12-29 11:34:10:044 CN: new_year_set, uid:1012s105p1601585, accumulative success, id:2
2018-12-29 11:34:13:191 CN: new_year_set, uid:1012s105p1601585, accumulative success, id:5
2018-12-29 11:47:56:772 CN: new_year_set, uid:1001s108p1205319, accumulative success, id:2
2018-12-29 11:47:58:185 CN: new_year_set, uid:1001s108p1205319, accumulative success, id:5
2018-12-29 12:13:40:905 CN: new_year_set, uid:1011s109p1224982, accumulative success, id:2
2018-12-29 12:13:45:087 CN: new_year_set, uid:1011s109p1224982, accumulative success, id:5
2018-12-29 16:57:12:411 CN: new_year_set, uid:1012s105p1156273, accumulative success, id:2
2018-12-29 16:57:13:957 CN: new_year_set, uid:1012s105p1156273, accumulative success, id:5
2018-12-29 18:39:23:750 CN: new_year_set, uid:1012s108p1186043, accumulative success, id:2
2018-12-29 18:39:29:852 CN: new_year_set, uid:1012s108p1186043, accumulative success, id:5
2018-12-29 22:05:41:163 CN: new_year_set, uid:1011s109p1196693, accumulative success, id:5
2018-12-29 22:05:43:112 CN: new_year_set, uid:1011s109p1196693, accumulative success, id:2
2018-12-29 22:18:51:597 CN: new_year_set, uid:1012s109p1647485, accumulative success, id:2
2018-12-30 00:29:07:703 CN: new_year_set, uid:1012s105p3611166, accumulative success, id:2
2018-12-30 02:01:38:323 CN: new_year_set, uid:1012s111p1219580, accumulative success, id:2
2018-12-30 09:04:50:566 CN: new_year_set, uid:1012s105p1156273, accumulative success, id:9
2018-12-30 09:53:08:467 CN: new_year_set, uid:1011s109p1224982, accumulative success, id:9
2018-12-30 10:28:21:491 CN: new_year_set, uid:1012s105p1601585, accumulative success, id:9
2018-12-30 11:05:08:759 CN: new_year_set, uid:1012s108p1186043, accumulative success, id:9
2018-12-30 11:32:17:650 CN: new_year_set, uid:1001s108p1203254, accumulative success, id:2
2018-12-30 11:32:19:215 CN: new_year_set, uid:1001s108p1203254, accumulative success, id:5
2018-12-30 11:49:23:074 CN: new_year_set, uid:1012s109p1647485, accumulative success, id:5
2018-12-30 11:49:24:287 CN: new_year_set, uid:1012s109p1647485, accumulative success, id:9
2018-12-30 11:52:51:682 CN: new_year_set, uid:1011s109p1196693, accumulative success, id:9
2018-12-30 12:06:14:832 CN: new_year_set, uid:1001s108p1205319, accumulative success, id:9
2018-12-30 12:35:15:289 CN: new_year_set, uid:1011s109p1224982, accumulative success, id:14
2018-12-30 14:12:32:746 CN: new_year_set, uid:1011s108p1185145, accumulative success, id:5
2018-12-30 14:12:36:398 CN: new_year_set, uid:1011s108p1185145, accumulative success, id:2
2018-12-30 14:31:19:095 CN: new_year_set, uid:1008s108p3675542, accumulative success, id:5
2018-12-30 14:31:25:394 CN: new_year_set, uid:1008s108p3675542, accumulative success, id:2
2018-12-30 16:55:33:679 CN: new_year_set, uid:1011s109p1269669, accumulative success, id:2
2018-12-30 16:55:35:825 CN: new_year_set, uid:1011s109p1269669, accumulative success, id:5
2018-12-30 16:55:49:192 CN: new_year_set, uid:1011s109p1269669, accumulative success, id:9
2018-12-30 17:49:57:799 CN: new_year_set, uid:1011s106p1166349, accumulative success, id:2
2018-12-30 17:50:06:345 CN: new_year_set, uid:1011s106p1166349, accumulative success, id:5
2018-12-30 17:50:19:991 CN: new_year_set, uid:1011s106p1166349, accumulative success, id:9
2018-12-30 18:00:20:964 CN: new_year_set, uid:1005s105p1158395, accumulative success, id:2
2018-12-30 18:44:04:294 CN: new_year_set, uid:1005s105p1158395, accumulative success, id:5
2018-12-30 18:52:19:912 CN: new_year_set, uid:1028s111p5973966, accumulative success, id:2
2018-12-30 18:52:29:177 CN: new_year_set, uid:1028s111p5973966, accumulative success, id:5
2018-12-30 19:48:13:986 CN: new_year_set, uid:1012s104p1319862, accumulative success, id:2
2018-12-30 19:53:08:551 CN: new_year_set, uid:1011s110p1216475, accumulative success, id:2
2018-12-30 19:54:41:237 CN: new_year_set, uid:1012s105p1155466, accumulative success, id:2
2018-12-30 19:54:42:245 CN: new_year_set, uid:1012s105p1155466, accumulative success, id:5
2018-12-30 21:03:13:262 CN: new_year_set, uid:1011s107p1371581, accumulative success, id:2
2018-12-30 21:03:15:731 CN: new_year_set, uid:1011s107p1371581, accumulative success, id:5
2018-12-30 21:06:28:777 CN: new_year_set, uid:1012s108p1186043, accumulative success, id:14
2018-12-30 21:21:46:959 CN: new_year_set, uid:1011s107p1173902, accumulative success, id:2
2018-12-30 21:21:51:247 CN: new_year_set, uid:1011s107p1173902, accumulative success, id:5
2018-12-30 21:22:23:706 CN: new_year_set, uid:1011s107p1173902, accumulative success, id:9
2018-12-30 21:31:05:458 CN: new_year_set, uid:1011s110p1216475, accumulative success, id:9
