2018-12-29 11:15:43:572 CN: new_year_set, uid:1012s213p2391021, accumulative success, id:2
2018-12-29 11:15:45:388 CN: new_year_set, uid:1012s213p2391021, accumulative success, id:5
2018-12-29 11:15:49:093 CN: new_year_set, uid:1012s212p2347720, accumulative success, id:2
2018-12-29 11:15:53:049 CN: new_year_set, uid:1012s212p2347720, accumulative success, id:5
2018-12-29 11:22:18:009 CN: new_year_set, uid:1016s215p2418138, accumulative success, id:2
2018-12-29 11:22:19:290 CN: new_year_set, uid:1016s215p2418138, accumulative success, id:5
2018-12-29 12:24:46:992 CN: new_year_set, uid:1004s213p2381939, accumulative success, id:2
2018-12-29 14:44:48:888 CN: new_year_set, uid:1004s213p2381939, accumulative success, id:5
2018-12-29 15:10:47:109 CN: new_year_set, uid:1001s216p2430184, accumulative success, id:2
2018-12-29 15:10:48:687 CN: new_year_set, uid:1001s216p2430184, accumulative success, id:5
2018-12-29 15:29:30:484 CN: new_year_set, uid:1012s216p2434155, accumulative success, id:2
2018-12-29 15:29:36:106 CN: new_year_set, uid:1012s216p2434155, accumulative success, id:5
2018-12-29 16:03:42:288 CN: new_year_set, uid:1012s216p2485062, accumulative success, id:2
2018-12-29 16:03:45:189 CN: new_year_set, uid:1012s216p2485062, accumulative success, id:5
2018-12-29 16:12:07:996 CN: new_year_set, uid:1016s218p3458375, accumulative success, id:2
2018-12-29 16:17:51:781 CN: new_year_set, uid:1011s215p2414723, accumulative success, id:2
2018-12-29 16:17:54:084 CN: new_year_set, uid:1011s215p2414723, accumulative success, id:5
2018-12-29 16:20:51:499 CN: new_year_set, uid:1016s218p3458375, accumulative success, id:5
2018-12-29 16:23:22:758 CN: new_year_set, uid:1012s214p2408643, accumulative success, id:2
2018-12-29 16:23:23:925 CN: new_year_set, uid:1012s214p2408643, accumulative success, id:5
2018-12-29 16:28:21:499 CN: new_year_set, uid:1011s219p2464257, accumulative success, id:2
2018-12-29 16:29:53:175 CN: new_year_set, uid:1002s212p2369432, accumulative success, id:5
2018-12-29 16:29:55:709 CN: new_year_set, uid:1002s212p2369432, accumulative success, id:2
2018-12-29 16:34:55:793 CN: new_year_set, uid:1011s219p2464257, accumulative success, id:5
2018-12-29 16:53:23:190 CN: new_year_set, uid:1016s217p2449049, accumulative success, id:2
2018-12-29 16:53:28:183 CN: new_year_set, uid:1016s217p2449049, accumulative success, id:5
