2018-12-29 10:49:51:898 CN: new_year_set, uid:1008s179p2018962, accumulative success, id:2
2018-12-29 10:49:53:901 CN: new_year_set, uid:1008s179p2018962, accumulative success, id:5
2018-12-29 14:02:12:275 CN: new_year_set, uid:1005s181p2055917, accumulative success, id:2
2018-12-29 14:02:22:014 CN: new_year_set, uid:1005s181p2055917, accumulative success, id:5
2018-12-29 14:06:14:924 CN: new_year_set, uid:1005s178p2003086, accumulative success, id:2
2018-12-29 15:05:16:831 CN: new_year_set, uid:1006s183p2050157, accumulative success, id:2
2018-12-29 15:05:21:791 CN: new_year_set, uid:1006s183p2050157, accumulative success, id:5
2018-12-29 15:31:36:473 CN: new_year_set, uid:1012s182p2049197, accumulative success, id:2
2018-12-29 15:31:38:570 CN: new_year_set, uid:1012s182p2049197, accumulative success, id:5
2018-12-29 19:07:11:725 CN: new_year_set, uid:1005s176p1093537, accumulative success, id:2
2018-12-29 19:07:20:306 CN: new_year_set, uid:1005s176p1093537, accumulative success, id:5
2018-12-29 19:13:08:129 CN: new_year_set, uid:1004s184p2059559, accumulative success, id:2
2018-12-29 21:06:33:438 CN: new_year_set, uid:1006s180p2020564, accumulative success, id:2
2018-12-29 21:06:39:331 CN: new_year_set, uid:1006s180p2020564, accumulative success, id:5
2018-12-29 21:32:48:492 CN: new_year_set, uid:1012s182p2045452, accumulative success, id:2
2018-12-29 22:44:47:810 CN: new_year_set, uid:1012s184p2058845, accumulative success, id:2
2018-12-29 22:44:58:750 CN: new_year_set, uid:1012s184p2058845, accumulative success, id:5
2018-12-29 22:49:59:976 CN: new_year_set, uid:1012s182p2045452, accumulative success, id:5
2018-12-29 22:50:55:672 CN: new_year_set, uid:1012s176p1982774, accumulative success, id:2
2018-12-29 22:50:57:010 CN: new_year_set, uid:1012s176p1982774, accumulative success, id:5
2018-12-29 22:57:57:666 CN: new_year_set, uid:1012s183p2053150, accumulative success, id:2
2018-12-29 22:58:01:237 CN: new_year_set, uid:1012s183p2053150, accumulative success, id:5
2018-12-29 23:18:37:652 CN: new_year_set, uid:1002s180p2024627, accumulative success, id:5
2018-12-29 23:18:41:098 CN: new_year_set, uid:1002s180p2024627, accumulative success, id:2
2018-12-30 00:02:51:543 CN: new_year_set, uid:1012s181p2189142, accumulative success, id:5
2018-12-30 00:02:55:236 CN: new_year_set, uid:1012s181p2189142, accumulative success, id:2
2018-12-30 01:25:49:801 CN: new_year_set, uid:1011s181p1895502, accumulative success, id:2
2018-12-30 01:26:01:301 CN: new_year_set, uid:1011s181p1895502, accumulative success, id:5
2018-12-30 04:26:04:221 CN: new_year_set, uid:1008s178p2010530, accumulative success, id:2
2018-12-30 04:26:07:369 CN: new_year_set, uid:1008s178p2010530, accumulative success, id:5
2018-12-30 05:28:22:367 CN: new_year_set, uid:1004s184p2059559, accumulative success, id:5
2018-12-30 06:58:12:807 CN: new_year_set, uid:1011s181p1895502, accumulative success, id:9
2018-12-30 07:32:29:710 CN: new_year_set, uid:1006s183p2050157, accumulative success, id:9
2018-12-30 07:58:56:239 CN: new_year_set, uid:1012s182p2045452, accumulative success, id:9
2018-12-30 09:02:28:051 CN: new_year_set, uid:1006s180p2020564, accumulative success, id:9
2018-12-30 09:36:14:369 CN: new_year_set, uid:1012s179p2011772, accumulative success, id:2
2018-12-30 09:36:18:926 CN: new_year_set, uid:1012s179p2011772, accumulative success, id:5
2018-12-30 09:55:50:887 CN: new_year_set, uid:1012s179p2011772, accumulative success, id:9
2018-12-30 10:03:23:075 CN: new_year_set, uid:1012s177p1990840, accumulative success, id:2
2018-12-30 10:03:28:069 CN: new_year_set, uid:1012s177p1990840, accumulative success, id:5
2018-12-30 10:05:01:869 CN: new_year_set, uid:1012s177p1990840, accumulative success, id:9
2018-12-30 12:41:23:873 CN: new_year_set, uid:1012s182p2049197, accumulative success, id:9
2018-12-30 14:25:17:796 CN: new_year_set, uid:1005s176p1093537, accumulative success, id:9
2018-12-30 14:27:55:541 CN: new_year_set, uid:1005s181p2055917, accumulative success, id:9
2018-12-30 14:42:48:919 CN: new_year_set, uid:1005s178p2001166, accumulative success, id:2
2018-12-30 14:42:52:395 CN: new_year_set, uid:1005s178p2001166, accumulative success, id:5
2018-12-30 14:44:43:790 CN: new_year_set, uid:1012s183p2053150, accumulative success, id:9
2018-12-30 15:06:40:798 CN: new_year_set, uid:1001s183p3298973, accumulative success, id:2
2018-12-30 15:06:42:397 CN: new_year_set, uid:1001s183p3298973, accumulative success, id:5
2018-12-30 15:06:44:832 CN: new_year_set, uid:1001s183p3298973, accumulative success, id:9
2018-12-30 16:00:04:744 CN: new_year_set, uid:1011s181p1895502, accumulative success, id:14
2018-12-30 17:52:54:269 CN: new_year_set, uid:1005s178p2001166, accumulative success, id:9
2018-12-30 18:06:37:837 CN: new_year_set, uid:1011s180p2020577, accumulative success, id:2
2018-12-30 18:06:40:065 CN: new_year_set, uid:1011s180p2020577, accumulative success, id:5
2018-12-30 18:43:17:288 CN: new_year_set, uid:1001s183p3298973, accumulative success, id:14
2018-12-30 18:56:55:651 CN: new_year_set, uid:1011s177p1995784, accumulative success, id:2
2018-12-30 18:57:00:297 CN: new_year_set, uid:1011s177p1995784, accumulative success, id:5
2018-12-30 20:00:50:141 CN: new_year_set, uid:1011s176p1982721, accumulative success, id:2
2018-12-30 20:00:57:088 CN: new_year_set, uid:1011s176p1982721, accumulative success, id:5
2018-12-30 20:01:00:189 CN: new_year_set, uid:1011s176p1982721, accumulative success, id:9
2018-12-30 20:12:48:206 CN: new_year_set, uid:1012s178p2005814, accumulative success, id:2
2018-12-30 20:12:50:391 CN: new_year_set, uid:1012s178p2005814, accumulative success, id:5
2018-12-30 20:41:06:296 CN: new_year_set, uid:1006s183p2054444, accumulative success, id:2
2018-12-30 20:41:07:356 CN: new_year_set, uid:1006s183p2054444, accumulative success, id:5
2018-12-30 20:41:10:472 CN: new_year_set, uid:1006s183p2054444, accumulative success, id:9
2018-12-30 21:49:59:389 CN: new_year_set, uid:1012s176p1982774, accumulative success, id:9
2018-12-30 21:58:39:717 CN: new_year_set, uid:1004s184p2059559, accumulative success, id:9
2018-12-30 22:20:40:060 CN: new_year_set, uid:1001s182p2236491, accumulative success, id:2
2018-12-30 22:24:18:272 CN: new_year_set, uid:1002s180p2024627, accumulative success, id:9
2018-12-30 22:30:17:563 CN: new_year_set, uid:1001s182p2236491, accumulative success, id:5
2018-12-30 22:36:11:255 CN: new_year_set, uid:1005s178p2017831, accumulative success, id:2
2018-12-30 22:36:12:607 CN: new_year_set, uid:1005s178p2017831, accumulative success, id:5
2018-12-30 23:27:23:550 CN: new_year_set, uid:1002s180p2024627, accumulative success, id:14
2018-12-30 23:37:22:937 CN: new_year_set, uid:1012s179p2008153, accumulative success, id:2
2018-12-30 23:37:26:102 CN: new_year_set, uid:1012s179p2008153, accumulative success, id:5
2018-12-31 00:01:38:519 CN: new_year_set, uid:1002s180p5516175, accumulative success, id:2
2018-12-31 00:01:40:742 CN: new_year_set, uid:1002s180p5516175, accumulative success, id:5
2018-12-31 00:25:45:018 CN: new_year_set, uid:1012s176p1980706, accumulative success, id:2
2018-12-31 00:26:00:563 CN: new_year_set, uid:1012s176p1980706, accumulative success, id:5
2018-12-31 01:21:24:385 CN: new_year_set, uid:1012s181p2189142, accumulative success, id:9
2018-12-31 06:51:14:432 CN: new_year_set, uid:1008s178p2010530, accumulative success, id:9
2018-12-31 08:29:45:458 CN: new_year_set, uid:1008s179p2018962, accumulative success, id:9
2018-12-31 08:46:13:784 CN: new_year_set, uid:1005s178p2001166, accumulative success, id:14
2018-12-31 08:53:01:425 CN: new_year_set, uid:1012s182p2045452, accumulative success, id:14
2018-12-31 09:39:57:658 CN: new_year_set, uid:1008s179p2018962, accumulative success, id:14
2018-12-31 10:08:49:489 CN: new_year_set, uid:1005s176p1093537, accumulative success, id:14
2018-12-31 10:14:24:692 CN: new_year_set, uid:1006s180p2020564, accumulative success, id:14
2018-12-31 10:31:56:190 CN: new_year_set, uid:1012s179p2011076, accumulative success, id:2
2018-12-31 10:31:57:496 CN: new_year_set, uid:1012s179p2011076, accumulative success, id:5
2018-12-31 11:52:52:227 CN: new_year_set, uid:1012s180p2024312, accumulative success, id:2
2018-12-31 11:52:54:045 CN: new_year_set, uid:1012s180p2024312, accumulative success, id:5
2018-12-31 11:59:03:528 CN: new_year_set, uid:1012s179p2011772, accumulative success, id:14
2018-12-31 12:05:04:110 CN: new_year_set, uid:1012s183p2041261, accumulative success, id:2
2018-12-31 12:05:08:898 CN: new_year_set, uid:1012s183p2041261, accumulative success, id:5
2018-12-31 12:44:16:699 CN: new_year_set, uid:1006s179p2012868, accumulative success, id:2
2018-12-31 12:44:17:576 CN: new_year_set, uid:1006s179p2012868, accumulative success, id:5
2018-12-31 13:06:12:904 CN: new_year_set, uid:1006s179p2012868, accumulative success, id:9
2018-12-31 13:13:01:090 CN: new_year_set, uid:1012s181p2189142, accumulative success, id:14
2018-12-31 13:18:03:189 CN: new_year_set, uid:1005s181p2055917, accumulative success, id:14
2018-12-31 13:32:55:690 CN: new_year_set, uid:1012s180p2024312, accumulative success, id:9
2018-12-31 13:36:59:270 CN: new_year_set, uid:1002s180p2024627, accumulative success, id:20
2018-12-31 13:40:40:000 CN: new_year_set, uid:1012s180p2024312, accumulative success, id:14
2018-12-31 13:44:42:049 CN: new_year_set, uid:1012s177p1990840, accumulative success, id:14
2018-12-31 13:52:48:829 CN: new_year_set, uid:1012s182p2049197, accumulative success, id:14
2018-12-31 13:59:22:128 CN: new_year_set, uid:1012s184p2058845, accumulative success, id:9
2018-12-31 13:59:24:403 CN: new_year_set, uid:1012s184p2058845, accumulative success, id:14
2018-12-31 14:20:59:104 CN: new_year_set, uid:1012s176p1982774, accumulative success, id:14
2018-12-31 14:38:21:567 CN: new_year_set, uid:1012s183p2053150, accumulative success, id:14
2018-12-31 15:13:47:924 CN: new_year_set, uid:1005s178p2003086, accumulative success, id:5
2018-12-31 15:20:02:553 CN: new_year_set, uid:1005s178p2003086, accumulative success, id:9
2018-12-31 16:15:40:882 CN: new_year_set, uid:1011s177p1995784, accumulative success, id:9
2018-12-31 17:31:53:897 CN: new_year_set, uid:1006s183p2054444, accumulative success, id:14
2018-12-31 17:35:25:832 CN: new_year_set, uid:1004s184p2059559, accumulative success, id:14
2018-12-31 18:02:11:639 CN: new_year_set, uid:1012s178p2005814, accumulative success, id:9
