2018-12-29 12:08:53:819 CN: new_year_set, uid:1005s233p2553069, accumulative success, id:2
2018-12-29 12:08:55:480 CN: new_year_set, uid:1005s233p2553069, accumulative success, id:5
2018-12-29 16:46:39:409 CN: new_year_set, uid:1016s231p2597149, accumulative success, id:2
2018-12-29 16:46:40:481 CN: new_year_set, uid:1016s231p2597149, accumulative success, id:5
2018-12-29 16:53:48:495 CN: new_year_set, uid:1011s237p2657885, accumulative success, id:2
2018-12-29 16:53:49:858 CN: new_year_set, uid:1011s237p2657885, accumulative success, id:5
2018-12-29 17:46:19:053 CN: new_year_set, uid:1012s237p2654100, accumulative success, id:2
2018-12-29 17:46:21:098 CN: new_year_set, uid:1012s237p2654100, accumulative success, id:5
2018-12-29 19:30:10:641 CN: new_year_set, uid:1012s238p3868291, accumulative success, id:2
2018-12-29 19:30:19:587 CN: new_year_set, uid:1012s238p3868291, accumulative success, id:5
2018-12-29 19:46:49:536 CN: new_year_set, uid:1011s238p3595315, accumulative success, id:2
2018-12-29 19:46:51:018 CN: new_year_set, uid:1011s238p3595315, accumulative success, id:5
2018-12-29 23:00:56:247 CN: new_year_set, uid:1012s232p2908728, accumulative success, id:2
2018-12-29 23:01:01:227 CN: new_year_set, uid:1012s232p2908728, accumulative success, id:5
2018-12-29 23:13:39:305 CN: new_year_set, uid:1012s238p2694770, accumulative success, id:2
2018-12-29 23:13:41:029 CN: new_year_set, uid:1012s238p2694770, accumulative success, id:5
2018-12-30 00:49:10:329 CN: new_year_set, uid:1012s230p2581418, accumulative success, id:2
2018-12-30 00:49:12:656 CN: new_year_set, uid:1012s230p2581418, accumulative success, id:5
2018-12-30 01:10:39:449 CN: new_year_set, uid:1016s234p2629733, accumulative success, id:2
2018-12-30 01:10:41:020 CN: new_year_set, uid:1016s234p2629733, accumulative success, id:5
2018-12-30 09:03:50:674 CN: new_year_set, uid:1012s237p2661850, accumulative success, id:2
2018-12-30 09:03:57:712 CN: new_year_set, uid:1012s237p2661850, accumulative success, id:5
2018-12-30 09:52:09:571 CN: new_year_set, uid:1005s233p2553069, accumulative success, id:9
2018-12-30 09:56:11:301 CN: new_year_set, uid:1012s238p3868291, accumulative success, id:9
2018-12-30 10:40:26:394 CN: new_year_set, uid:1012s238p2694770, accumulative success, id:9
2018-12-30 11:31:25:024 CN: new_year_set, uid:1016s232p2608591, accumulative success, id:2
2018-12-30 11:31:31:824 CN: new_year_set, uid:1016s232p2608591, accumulative success, id:5
2018-12-30 12:19:57:896 CN: new_year_set, uid:1012s238p2674303, accumulative success, id:2
2018-12-30 12:19:59:264 CN: new_year_set, uid:1012s238p2674303, accumulative success, id:5
2018-12-30 12:29:52:285 CN: new_year_set, uid:1012s230p2579761, accumulative success, id:2
2018-12-30 12:30:21:139 CN: new_year_set, uid:1001s236p2654072, accumulative success, id:2
2018-12-30 12:30:22:816 CN: new_year_set, uid:1001s236p2654072, accumulative success, id:5
2018-12-30 12:31:16:758 CN: new_year_set, uid:1004s230p2593070, accumulative success, id:2
2018-12-30 12:31:19:622 CN: new_year_set, uid:1004s230p2593070, accumulative success, id:5
2018-12-30 12:46:10:757 CN: new_year_set, uid:1011s236p2649290, accumulative success, id:2
2018-12-30 12:46:11:700 CN: new_year_set, uid:1011s236p2649290, accumulative success, id:5
2018-12-30 12:56:29:035 CN: new_year_set, uid:1011s236p2649290, accumulative success, id:9
2018-12-30 13:20:49:059 CN: new_year_set, uid:1011s237p2657885, accumulative success, id:9
2018-12-30 13:42:55:320 CN: new_year_set, uid:1011s238p3595315, accumulative success, id:9
2018-12-30 14:06:44:050 CN: new_year_set, uid:1012s237p2658012, accumulative success, id:2
2018-12-30 14:06:45:212 CN: new_year_set, uid:1012s237p2658012, accumulative success, id:5
2018-12-30 14:14:46:085 CN: new_year_set, uid:1011s236p2649290, accumulative success, id:14
2018-12-30 14:27:07:651 CN: new_year_set, uid:1012s237p2658012, accumulative success, id:9
2018-12-30 16:38:49:718 CN: new_year_set, uid:1006s231p2004061, accumulative success, id:2
2018-12-30 16:38:52:548 CN: new_year_set, uid:1006s231p2004061, accumulative success, id:5
2018-12-30 17:35:44:124 CN: new_year_set, uid:1006s231p2004061, accumulative success, id:9
2018-12-30 18:29:33:147 CN: new_year_set, uid:1012s237p2654100, accumulative success, id:9
2018-12-30 19:02:16:641 CN: new_year_set, uid:1012s230p2579761, accumulative success, id:5
2018-12-30 19:02:19:155 CN: new_year_set, uid:1012s230p2579761, accumulative success, id:9
2018-12-30 19:36:33:963 CN: new_year_set, uid:1012s231p2596478, accumulative success, id:2
2018-12-30 19:36:40:300 CN: new_year_set, uid:1012s231p2596478, accumulative success, id:5
2018-12-30 20:08:04:297 CN: new_year_set, uid:1016s233p2625004, accumulative success, id:2
2018-12-30 20:08:15:281 CN: new_year_set, uid:1016s233p2625004, accumulative success, id:5
2018-12-30 21:43:30:801 CN: new_year_set, uid:1016s231p2597149, accumulative success, id:9
2018-12-30 21:52:19:054 CN: new_year_set, uid:1016s233p2625004, accumulative success, id:9
2018-12-31 06:36:12:765 CN: new_year_set, uid:1012s238p2694770, accumulative success, id:14
2018-12-31 08:31:47:881 CN: new_year_set, uid:1005s233p2553069, accumulative success, id:14
