2018-12-29 11:43:16:327 CN: new_year_set, uid:1012s503p3427846, accumulative success, id:2
2018-12-29 13:14:54:224 CN: new_year_set, uid:1017s503p4837983, accumulative success, id:2
2018-12-29 13:14:59:163 CN: new_year_set, uid:1017s503p4837983, accumulative success, id:5
2018-12-29 13:25:39:084 CN: new_year_set, uid:1012s503p3427846, accumulative success, id:5
2018-12-29 13:48:24:280 CN: new_year_set, uid:1001s503p2816084, accumulative success, id:2
2018-12-29 16:39:13:503 CN: new_year_set, uid:1004s504p4858198, accumulative success, id:2
2018-12-29 17:03:15:054 CN: new_year_set, uid:1004s504p4858198, accumulative success, id:5
2018-12-29 17:15:30:768 CN: new_year_set, uid:1017s503p4596208, accumulative success, id:2
2018-12-29 17:41:16:587 CN: new_year_set, uid:1017s503p4842027, accumulative success, id:2
2018-12-29 17:41:18:617 CN: new_year_set, uid:1017s503p4842027, accumulative success, id:5
2018-12-30 08:06:35:650 CN: new_year_set, uid:1012s503p3427846, accumulative success, id:9
2018-12-30 09:09:03:896 CN: new_year_set, uid:1004s504p4858198, accumulative success, id:9
2018-12-30 09:58:50:116 CN: new_year_set, uid:1006s505p4865943, accumulative success, id:2
2018-12-30 09:58:55:429 CN: new_year_set, uid:1006s505p4865943, accumulative success, id:5
2018-12-30 11:36:47:304 CN: new_year_set, uid:1012s505p4869003, accumulative success, id:2
2018-12-30 11:36:48:531 CN: new_year_set, uid:1012s505p4869003, accumulative success, id:5
2018-12-30 13:27:09:517 CN: new_year_set, uid:1001s503p2816084, accumulative success, id:5
2018-12-30 13:27:21:737 CN: new_year_set, uid:1001s503p2816084, accumulative success, id:9
2018-12-30 14:39:45:985 CN: new_year_set, uid:1024s504p4848429, accumulative success, id:2
2018-12-30 14:39:47:425 CN: new_year_set, uid:1024s504p4848429, accumulative success, id:5
2018-12-30 14:39:49:166 CN: new_year_set, uid:1024s504p4848429, accumulative success, id:9
2018-12-30 21:32:17:285 CN: new_year_set, uid:1017s504p4858552, accumulative success, id:2
