2018-12-29 10:59:47:654 CN: new_year_set, uid:1004s20p384099, accumulative success, id:2
2018-12-29 11:53:11:067 CN: new_year_set, uid:1003s14p171717, accumulative success, id:2
2018-12-29 11:53:12:540 CN: new_year_set, uid:1003s14p171717, accumulative success, id:5
2018-12-29 12:02:33:475 CN: new_year_set, uid:1001s19p2359245, accumulative success, id:2
2018-12-29 12:33:55:187 CN: new_year_set, uid:1001s18p390685, accumulative success, id:2
2018-12-29 12:33:57:118 CN: new_year_set, uid:1001s18p390685, accumulative success, id:5
2018-12-29 13:02:45:487 CN: new_year_set, uid:1001s17p2482884, accumulative success, id:2
2018-12-29 13:06:02:842 CN: new_year_set, uid:1006s20p790418, accumulative success, id:2
2018-12-29 13:07:36:484 CN: new_year_set, uid:1008s15p19573, accumulative success, id:2
2018-12-29 13:17:51:605 CN: new_year_set, uid:1004s18p221992, accumulative success, id:2
2018-12-29 13:57:47:916 CN: new_year_set, uid:1003s16p203415, accumulative success, id:2
2018-12-29 13:57:50:533 CN: new_year_set, uid:1003s16p203415, accumulative success, id:5
2018-12-29 14:00:14:779 CN: new_year_set, uid:1005s20p2410741, accumulative success, id:2
2018-12-29 14:00:24:635 CN: new_year_set, uid:1005s20p2410741, accumulative success, id:5
2018-12-29 14:03:06:765 CN: new_year_set, uid:1028s14p5822555, accumulative success, id:2
2018-12-29 14:03:10:013 CN: new_year_set, uid:1028s14p5822555, accumulative success, id:5
2018-12-29 14:13:38:309 CN: new_year_set, uid:1002s17p198547, accumulative success, id:2
2018-12-29 14:13:40:041 CN: new_year_set, uid:1002s17p198547, accumulative success, id:5
2018-12-29 15:13:29:273 CN: new_year_set, uid:1004s18p215670, accumulative success, id:2
2018-12-29 16:13:26:224 CN: new_year_set, uid:1004s18p215670, accumulative success, id:5
2018-12-29 16:50:42:696 CN: new_year_set, uid:1002s21p245925, accumulative success, id:2
2018-12-29 16:50:49:041 CN: new_year_set, uid:1002s21p245925, accumulative success, id:5
2018-12-29 20:03:31:650 CN: new_year_set, uid:1005s22p44497, accumulative success, id:2
2018-12-29 20:03:33:667 CN: new_year_set, uid:1005s22p44497, accumulative success, id:5
2018-12-29 20:35:24:024 CN: new_year_set, uid:1002s17p297937, accumulative success, id:2
2018-12-29 20:35:28:609 CN: new_year_set, uid:1002s17p297937, accumulative success, id:5
2018-12-29 20:44:01:401 CN: new_year_set, uid:1002s19p229339, accumulative success, id:2
2018-12-29 20:44:05:543 CN: new_year_set, uid:1002s19p229339, accumulative success, id:5
2018-12-29 21:13:15:881 CN: new_year_set, uid:1028s18p5814550, accumulative success, id:2
