2018-12-29 14:03:27:988 CN: new_year_set, uid:1012s287p3185713, accumulative success, id:2
2018-12-29 16:00:43:703 CN: new_year_set, uid:1016s288p3195951, accumulative success, id:2
2018-12-29 16:00:46:942 CN: new_year_set, uid:1016s288p3195951, accumulative success, id:5
2018-12-29 17:41:58:017 CN: new_year_set, uid:1017s290p3695453, accumulative success, id:2
2018-12-29 17:42:00:436 CN: new_year_set, uid:1017s290p3695453, accumulative success, id:5
2018-12-29 21:08:32:954 CN: new_year_set, uid:1012s287p3180057, accumulative success, id:2
2018-12-29 21:08:34:730 CN: new_year_set, uid:1012s287p3180057, accumulative success, id:5
2018-12-29 21:41:52:467 CN: new_year_set, uid:1012s287p3185713, accumulative success, id:5
2018-12-29 22:53:21:246 CN: new_year_set, uid:1016s292p3200679, accumulative success, id:2
2018-12-29 22:53:23:419 CN: new_year_set, uid:1016s292p3200679, accumulative success, id:5
2018-12-29 23:55:19:376 CN: new_year_set, uid:1005s291p3270906, accumulative success, id:2
2018-12-29 23:55:23:246 CN: new_year_set, uid:1005s291p3270906, accumulative success, id:5
2018-12-30 00:02:42:301 CN: new_year_set, uid:1012s286p3168839, accumulative success, id:2
2018-12-30 00:02:45:063 CN: new_year_set, uid:1012s286p3168839, accumulative success, id:5
2018-12-30 09:34:24:101 CN: new_year_set, uid:1005s289p515503, accumulative success, id:2
2018-12-30 09:34:25:879 CN: new_year_set, uid:1005s289p515503, accumulative success, id:5
2018-12-30 10:23:34:873 CN: new_year_set, uid:1016s289p3200679, accumulative success, id:2
2018-12-30 10:23:37:341 CN: new_year_set, uid:1016s289p3200679, accumulative success, id:5
2018-12-30 10:46:25:100 CN: new_year_set, uid:1012s289p3829205, accumulative success, id:2
2018-12-30 10:57:54:447 CN: new_year_set, uid:1012s289p3829205, accumulative success, id:5
2018-12-30 12:33:10:881 CN: new_year_set, uid:1017s290p3695453, accumulative success, id:9
2018-12-30 12:49:19:396 CN: new_year_set, uid:1012s286p3168839, accumulative success, id:9
2018-12-30 13:44:58:664 CN: new_year_set, uid:1016s289p3200679, accumulative success, id:9
2018-12-30 14:37:53:171 CN: new_year_set, uid:1012s287p3180057, accumulative success, id:9
2018-12-30 16:58:58:978 CN: new_year_set, uid:1016s292p3200679, accumulative success, id:9
2018-12-30 17:42:41:713 CN: new_year_set, uid:1012s289p3247403, accumulative success, id:5
2018-12-30 17:42:42:963 CN: new_year_set, uid:1012s289p3247403, accumulative success, id:2
2018-12-30 18:05:19:543 CN: new_year_set, uid:1012s290p3210166, accumulative success, id:2
2018-12-30 18:05:21:411 CN: new_year_set, uid:1012s290p3210166, accumulative success, id:5
2018-12-30 18:14:26:392 CN: new_year_set, uid:1012s289p3201320, accumulative success, id:2
2018-12-30 20:42:58:121 CN: new_year_set, uid:1012s289p3247403, accumulative success, id:9
2018-12-30 21:43:36:679 CN: new_year_set, uid:1012s287p3185713, accumulative success, id:9
2018-12-30 21:59:42:405 CN: new_year_set, uid:1012s292p3226070, accumulative success, id:2
2018-12-30 21:59:44:724 CN: new_year_set, uid:1012s292p3226070, accumulative success, id:5
2018-12-30 21:59:46:887 CN: new_year_set, uid:1012s292p3226070, accumulative success, id:9
2018-12-30 22:20:19:869 CN: new_year_set, uid:1012s292p3377456, accumulative success, id:2
2018-12-30 22:20:27:527 CN: new_year_set, uid:1012s292p3377456, accumulative success, id:5
2018-12-30 22:20:36:917 CN: new_year_set, uid:1012s292p3377456, accumulative success, id:9
2018-12-31 08:21:51:835 CN: new_year_set, uid:1012s290p3361520, accumulative success, id:2
2018-12-31 09:20:20:855 CN: new_year_set, uid:1012s286p3168839, accumulative success, id:14
2018-12-31 10:32:51:114 CN: new_year_set, uid:1012s287p3180057, accumulative success, id:14
2018-12-31 11:22:21:758 CN: new_year_set, uid:1012s292p3377456, accumulative success, id:14
2018-12-31 11:29:15:880 CN: new_year_set, uid:1012s289p3829205, accumulative success, id:9
2018-12-31 12:12:58:698 CN: new_year_set, uid:1017s290p3695453, accumulative success, id:14
