2018-12-29 12:56:05:768 CN: new_year_set, uid:1016s274p3054726, accumulative success, id:2
2018-12-29 12:56:08:377 CN: new_year_set, uid:1016s274p3054726, accumulative success, id:5
2018-12-29 13:52:59:872 CN: new_year_set, uid:1002s266p3110903, accumulative success, id:2
2018-12-29 14:21:35:729 CN: new_year_set, uid:1004s268p187627, accumulative success, id:2
2018-12-29 14:42:50:637 CN: new_year_set, uid:1012s272p3105485, accumulative success, id:2
2018-12-29 14:42:53:229 CN: new_year_set, uid:1012s272p3105485, accumulative success, id:5
2018-12-29 14:43:09:978 CN: new_year_set, uid:1016s274p3055266, accumulative success, id:2
2018-12-29 14:43:11:185 CN: new_year_set, uid:1016s274p3055266, accumulative success, id:5
2018-12-29 17:37:09:112 CN: new_year_set, uid:1012s268p2987425, accumulative success, id:2
2018-12-29 18:09:06:266 CN: new_year_set, uid:1001s272p3010050, accumulative success, id:2
2018-12-29 18:09:07:673 CN: new_year_set, uid:1001s272p3010050, accumulative success, id:5
2018-12-29 18:34:43:168 CN: new_year_set, uid:1008s273p3038896, accumulative success, id:2
2018-12-29 18:34:45:252 CN: new_year_set, uid:1008s273p3038896, accumulative success, id:5
2018-12-29 19:36:29:963 CN: new_year_set, uid:1012s269p3213718, accumulative success, id:2
2018-12-29 19:36:37:403 CN: new_year_set, uid:1012s269p3213718, accumulative success, id:5
2018-12-29 19:37:14:851 CN: new_year_set, uid:1012s272p3054191, accumulative success, id:2
2018-12-29 19:37:16:869 CN: new_year_set, uid:1012s272p3054191, accumulative success, id:5
2018-12-29 21:06:51:086 CN: new_year_set, uid:1004s271p2590552, accumulative success, id:2
2018-12-29 21:06:54:648 CN: new_year_set, uid:1004s271p2590552, accumulative success, id:5
2018-12-29 21:15:06:683 CN: new_year_set, uid:1002s266p3110903, accumulative success, id:5
2018-12-30 05:33:11:712 CN: new_year_set, uid:1001s272p3010050, accumulative success, id:9
2018-12-30 06:08:45:233 CN: new_year_set, uid:1012s272p3054191, accumulative success, id:9
2018-12-30 09:43:04:316 CN: new_year_set, uid:1016s274p3054726, accumulative success, id:9
