2018-12-29 11:12:54:229 CN: new_year_set, uid:1003s5p284228, accumulative success, id:2
2018-12-29 11:12:56:076 CN: new_year_set, uid:1003s5p284228, accumulative success, id:5
2018-12-29 11:18:12:829 CN: new_year_set, uid:1002s4p2766339, accumulative success, id:2
2018-12-29 11:18:44:003 CN: new_year_set, uid:1002s4p2766339, accumulative success, id:5
2018-12-29 12:43:56:336 CN: new_year_set, uid:1009s4p2042127, accumulative success, id:2
2018-12-29 12:44:16:122 CN: new_year_set, uid:1009s4p2042127, accumulative success, id:5
2018-12-29 13:09:32:670 CN: new_year_set, uid:1001s6p31557, accumulative success, id:2
2018-12-29 13:09:35:673 CN: new_year_set, uid:1001s6p31557, accumulative success, id:5
2018-12-29 13:19:04:320 CN: new_year_set, uid:1001s3p15980, accumulative success, id:2
2018-12-29 13:19:17:406 CN: new_year_set, uid:1001s3p15980, accumulative success, id:5
2018-12-29 13:34:59:038 CN: new_year_set, uid:1001s1p5545248, accumulative success, id:2
2018-12-29 13:35:05:839 CN: new_year_set, uid:1001s1p5545248, accumulative success, id:5
2018-12-29 13:40:38:750 CN: new_year_set, uid:1001s6p96454, accumulative success, id:2
2018-12-29 13:40:44:678 CN: new_year_set, uid:1001s6p96454, accumulative success, id:5
2018-12-29 14:30:32:591 CN: new_year_set, uid:1002s5p562238, accumulative success, id:2
2018-12-29 14:30:35:401 CN: new_year_set, uid:1002s5p562238, accumulative success, id:5
2018-12-29 14:34:45:497 CN: new_year_set, uid:1002s6p82650, accumulative success, id:2
2018-12-29 14:34:51:829 CN: new_year_set, uid:1002s6p82650, accumulative success, id:5
2018-12-29 15:06:28:048 CN: new_year_set, uid:1005s2p38402, accumulative success, id:2
2018-12-29 15:06:29:365 CN: new_year_set, uid:1005s2p38402, accumulative success, id:5
2018-12-29 16:51:35:767 CN: new_year_set, uid:1005s3p49824, accumulative success, id:5
2018-12-29 16:51:36:807 CN: new_year_set, uid:1005s3p49824, accumulative success, id:2
2018-12-29 16:54:16:846 CN: new_year_set, uid:1012s4p1540553, accumulative success, id:2
2018-12-29 16:55:00:466 CN: new_year_set, uid:1012s4p1540553, accumulative success, id:5
2018-12-29 17:43:48:261 CN: new_year_set, uid:1006s1p5550074, accumulative success, id:2
2018-12-29 17:43:52:289 CN: new_year_set, uid:1006s1p5550074, accumulative success, id:5
2018-12-29 18:13:41:447 CN: new_year_set, uid:1012s2p2084063, accumulative success, id:2
2018-12-29 18:30:22:978 CN: new_year_set, uid:1000s6p2271870, accumulative success, id:5
2018-12-29 18:30:24:195 CN: new_year_set, uid:1000s6p2271870, accumulative success, id:2
2018-12-29 19:44:18:545 CN: new_year_set, uid:1006s5p4715110, accumulative success, id:2
2018-12-29 19:49:33:707 CN: new_year_set, uid:1012s2p2084063, accumulative success, id:5
2018-12-29 19:55:47:714 CN: new_year_set, uid:1001s2p25115, accumulative success, id:2
2018-12-29 19:58:29:798 CN: new_year_set, uid:1003s6p190229, accumulative success, id:2
2018-12-29 21:02:54:991 CN: new_year_set, uid:1004s1p17131, accumulative success, id:2
2018-12-29 21:03:06:358 CN: new_year_set, uid:1004s1p17131, accumulative success, id:5
2018-12-29 21:06:29:891 CN: new_year_set, uid:1001s1p4649, accumulative success, id:2
2018-12-29 21:06:34:826 CN: new_year_set, uid:1001s1p4649, accumulative success, id:5
2018-12-29 21:15:43:789 CN: new_year_set, uid:1001s2p24713, accumulative success, id:2
2018-12-29 21:15:46:638 CN: new_year_set, uid:1001s2p24713, accumulative success, id:5
2018-12-29 21:32:53:395 CN: new_year_set, uid:1016s2p2317165, accumulative success, id:2
2018-12-29 21:32:54:624 CN: new_year_set, uid:1016s2p2317165, accumulative success, id:5
2018-12-29 23:47:08:014 CN: new_year_set, uid:1003s3p47123, accumulative success, id:2
2018-12-29 23:47:14:522 CN: new_year_set, uid:1003s3p47123, accumulative success, id:5
2018-12-29 23:51:40:939 CN: new_year_set, uid:1012s3p3133141, accumulative success, id:2
2018-12-29 23:52:37:116 CN: new_year_set, uid:1012s3p3133141, accumulative success, id:5
2018-12-29 23:57:15:704 CN: new_year_set, uid:1001s6p288702, accumulative success, id:2
2018-12-29 23:57:19:674 CN: new_year_set, uid:1001s6p288702, accumulative success, id:5
2018-12-30 00:08:59:626 CN: new_year_set, uid:1001s3p48910, accumulative success, id:2
2018-12-30 00:09:10:520 CN: new_year_set, uid:1001s3p48910, accumulative success, id:5
2018-12-30 00:12:14:758 CN: new_year_set, uid:1001s4p55900, accumulative success, id:2
2018-12-30 00:12:16:614 CN: new_year_set, uid:1001s4p55900, accumulative success, id:5
2018-12-30 06:12:59:078 CN: new_year_set, uid:1012s4p4716021, accumulative success, id:2
2018-12-30 06:13:01:398 CN: new_year_set, uid:1012s4p4716021, accumulative success, id:5
2018-12-30 07:19:52:220 CN: new_year_set, uid:1012s4p1540553, accumulative success, id:9
2018-12-30 08:03:17:853 CN: new_year_set, uid:1001s3p15980, accumulative success, id:9
2018-12-30 08:29:27:490 CN: new_year_set, uid:1003s6p190229, accumulative success, id:5
2018-12-30 09:10:21:031 CN: new_year_set, uid:1001s1p4649, accumulative success, id:9
2018-12-30 10:02:04:024 CN: new_year_set, uid:1001s2p25115, accumulative success, id:5
2018-12-30 10:25:29:038 CN: new_year_set, uid:1001s1p5441, accumulative success, id:2
2018-12-30 10:25:31:155 CN: new_year_set, uid:1001s1p5441, accumulative success, id:5
2018-12-30 10:38:44:852 CN: new_year_set, uid:1011s1p498525, accumulative success, id:2
2018-12-30 10:38:49:892 CN: new_year_set, uid:1011s1p498525, accumulative success, id:5
2018-12-30 10:39:43:848 CN: new_year_set, uid:1005s2p38402, accumulative success, id:9
2018-12-30 10:43:53:475 CN: new_year_set, uid:1005s1p457462, accumulative success, id:2
2018-12-30 10:43:59:154 CN: new_year_set, uid:1005s1p457462, accumulative success, id:5
2018-12-30 11:23:31:975 CN: new_year_set, uid:1003s5p284228, accumulative success, id:9
2018-12-30 11:28:49:264 CN: new_year_set, uid:1001s1p9860, accumulative success, id:2
2018-12-30 11:40:09:424 CN: new_year_set, uid:1012s6p333345, accumulative success, id:5
2018-12-30 11:40:10:950 CN: new_year_set, uid:1012s6p333345, accumulative success, id:2
2018-12-30 11:42:10:404 CN: new_year_set, uid:1005s1p457462, accumulative success, id:9
2018-12-30 11:56:44:506 CN: new_year_set, uid:1005s1p511163, accumulative success, id:2
2018-12-30 11:56:46:089 CN: new_year_set, uid:1001s1p5545248, accumulative success, id:9
2018-12-30 12:14:57:710 CN: new_year_set, uid:1005s3p49824, accumulative success, id:9
2018-12-30 12:26:29:709 CN: new_year_set, uid:1009s4p2042127, accumulative success, id:9
2018-12-30 12:29:48:917 CN: new_year_set, uid:1001s2p26439, accumulative success, id:2
2018-12-30 12:29:50:398 CN: new_year_set, uid:1001s2p26439, accumulative success, id:5
2018-12-30 12:30:34:258 CN: new_year_set, uid:1012s5p3237039, accumulative success, id:2
2018-12-30 12:30:37:141 CN: new_year_set, uid:1012s5p3237039, accumulative success, id:5
2018-12-30 12:49:59:499 CN: new_year_set, uid:1001s5p68095, accumulative success, id:2
2018-12-30 12:50:01:688 CN: new_year_set, uid:1001s5p68095, accumulative success, id:5
2018-12-30 13:22:06:475 CN: new_year_set, uid:1005s3p87761, accumulative success, id:2
2018-12-30 13:22:28:681 CN: new_year_set, uid:1005s3p87761, accumulative success, id:5
2018-12-30 13:31:13:741 CN: new_year_set, uid:1000s6p2271870, accumulative success, id:9
2018-12-30 13:38:04:680 CN: new_year_set, uid:1001s4p55900, accumulative success, id:9
2018-12-30 13:39:24:266 CN: new_year_set, uid:1003s6p190229, accumulative success, id:9
2018-12-30 13:53:29:418 CN: new_year_set, uid:1001s6p96454, accumulative success, id:9
2018-12-30 14:16:01:123 CN: new_year_set, uid:1006s6p2206551, accumulative success, id:2
2018-12-30 14:16:02:482 CN: new_year_set, uid:1006s6p2206551, accumulative success, id:5
2018-12-30 14:46:16:592 CN: new_year_set, uid:1012s2p2084063, accumulative success, id:9
2018-12-30 14:47:41:252 CN: new_year_set, uid:1002s5p562238, accumulative success, id:9
2018-12-30 15:08:22:821 CN: new_year_set, uid:1009s1p11743, accumulative success, id:2
2018-12-30 15:08:23:932 CN: new_year_set, uid:1009s1p11743, accumulative success, id:5
2018-12-30 15:08:27:111 CN: new_year_set, uid:1004s1p17131, accumulative success, id:9
2018-12-30 15:12:35:428 CN: new_year_set, uid:1001s1p493118, accumulative success, id:2
2018-12-30 15:12:37:735 CN: new_year_set, uid:1001s1p493118, accumulative success, id:5
2018-12-30 15:12:47:166 CN: new_year_set, uid:1001s1p493118, accumulative success, id:9
2018-12-30 15:39:08:054 CN: new_year_set, uid:1001s1p9860, accumulative success, id:5
2018-12-30 15:41:48:353 CN: new_year_set, uid:1001s3p15980, accumulative success, id:14
2018-12-30 15:44:01:180 CN: new_year_set, uid:1009s1p11743, accumulative success, id:9
2018-12-30 15:49:50:192 CN: new_year_set, uid:1002s6p82650, accumulative success, id:9
2018-12-30 15:57:40:729 CN: new_year_set, uid:1001s2p34394, accumulative success, id:2
2018-12-30 15:57:46:253 CN: new_year_set, uid:1001s2p34394, accumulative success, id:5
2018-12-30 16:05:04:525 CN: new_year_set, uid:1004s1p3996149, accumulative success, id:2
2018-12-30 16:14:49:597 CN: new_year_set, uid:1012s2p600767, accumulative success, id:2
2018-12-30 16:15:07:535 CN: new_year_set, uid:1012s2p600767, accumulative success, id:5
2018-12-30 16:21:50:489 CN: new_year_set, uid:1012s5p64710, accumulative success, id:2
2018-12-30 16:21:51:991 CN: new_year_set, uid:1012s5p64710, accumulative success, id:5
2018-12-30 16:23:31:698 CN: new_year_set, uid:1004s1p3996149, accumulative success, id:5
2018-12-30 16:38:14:000 CN: new_year_set, uid:1008s1p3187, accumulative success, id:2
2018-12-30 16:38:19:476 CN: new_year_set, uid:1008s1p3187, accumulative success, id:5
2018-12-30 16:47:37:789 CN: new_year_set, uid:1012s1p3733611, accumulative success, id:2
2018-12-30 16:48:35:865 CN: new_year_set, uid:1001s3p23609, accumulative success, id:2
2018-12-30 16:48:37:758 CN: new_year_set, uid:1001s3p23609, accumulative success, id:5
2018-12-30 16:54:58:960 CN: new_year_set, uid:1008s1p3187, accumulative success, id:9
2018-12-30 16:57:24:748 CN: new_year_set, uid:1005s1p511163, accumulative success, id:5
2018-12-30 17:02:37:603 CN: new_year_set, uid:1012s6p333345, accumulative success, id:9
2018-12-30 17:20:43:527 CN: new_year_set, uid:1002s2p2153177, accumulative success, id:5
2018-12-30 17:20:45:496 CN: new_year_set, uid:1002s2p2153177, accumulative success, id:2
2018-12-30 17:25:05:773 CN: new_year_set, uid:1001s3p5294, accumulative success, id:9
2018-12-30 17:25:07:162 CN: new_year_set, uid:1001s3p5294, accumulative success, id:5
2018-12-30 17:25:09:049 CN: new_year_set, uid:1001s3p5294, accumulative success, id:2
2018-12-30 17:26:48:135 CN: new_year_set, uid:1012s3p46168, accumulative success, id:2
2018-12-30 17:26:50:950 CN: new_year_set, uid:1012s3p46168, accumulative success, id:5
2018-12-30 17:53:33:071 CN: new_year_set, uid:1012s4p3667572, accumulative success, id:2
2018-12-30 17:57:07:065 CN: new_year_set, uid:1002s5p2209077, accumulative success, id:2
2018-12-30 17:57:08:105 CN: new_year_set, uid:1002s5p2209077, accumulative success, id:5
2018-12-30 17:57:10:949 CN: new_year_set, uid:1002s5p2209077, accumulative success, id:9
2018-12-30 18:00:59:279 CN: new_year_set, uid:1012s6p2620395, accumulative success, id:2
2018-12-30 18:01:02:639 CN: new_year_set, uid:1012s6p2620395, accumulative success, id:5
2018-12-30 18:16:36:328 CN: new_year_set, uid:1011s1p498525, accumulative success, id:9
2018-12-30 18:40:08:193 CN: new_year_set, uid:1012s6p3175698, accumulative success, id:2
2018-12-30 18:40:10:278 CN: new_year_set, uid:1012s6p3175698, accumulative success, id:5
2018-12-30 19:06:56:387 CN: new_year_set, uid:1011s3p2244475, accumulative success, id:2
2018-12-30 19:07:00:627 CN: new_year_set, uid:1011s3p2244475, accumulative success, id:5
2018-12-30 19:22:56:236 CN: new_year_set, uid:1011s5p65548, accumulative success, id:2
2018-12-30 19:23:00:987 CN: new_year_set, uid:1011s5p65548, accumulative success, id:5
2018-12-30 19:23:04:032 CN: new_year_set, uid:1011s5p65548, accumulative success, id:9
2018-12-30 19:41:18:518 CN: new_year_set, uid:1006s1p18234, accumulative success, id:2
2018-12-30 19:41:24:238 CN: new_year_set, uid:1006s1p18234, accumulative success, id:5
2018-12-30 19:44:39:554 CN: new_year_set, uid:1001s2p34394, accumulative success, id:9
2018-12-30 19:48:02:566 CN: new_year_set, uid:1017s4p4839073, accumulative success, id:2
2018-12-30 19:48:04:515 CN: new_year_set, uid:1017s4p4839073, accumulative success, id:5
2018-12-30 19:48:07:168 CN: new_year_set, uid:1017s4p4839073, accumulative success, id:9
