2018-12-29 11:59:12:785 CN: new_year_set, uid:1012s123p1353096, accumulative success, id:2
2018-12-29 13:08:50:217 CN: new_year_set, uid:1011s125p1368701, accumulative success, id:2
2018-12-29 13:08:51:533 CN: new_year_set, uid:1011s125p1368701, accumulative success, id:5
2018-12-29 13:30:59:262 CN: new_year_set, uid:1007s129p1414155, accumulative success, id:2
2018-12-29 13:31:01:303 CN: new_year_set, uid:1007s129p1414155, accumulative success, id:5
2018-12-29 14:01:46:938 CN: new_year_set, uid:1008s123p1357480, accumulative success, id:2
2018-12-29 14:01:48:427 CN: new_year_set, uid:1008s123p1357480, accumulative success, id:5
2018-12-29 14:03:02:827 CN: new_year_set, uid:1011s123p1350184, accumulative success, id:2
2018-12-29 14:03:03:737 CN: new_year_set, uid:1011s123p1350184, accumulative success, id:5
2018-12-29 19:51:15:721 CN: new_year_set, uid:1011s128p1403045, accumulative success, id:2
2018-12-29 19:51:25:272 CN: new_year_set, uid:1011s128p1403045, accumulative success, id:5
2018-12-29 20:38:06:248 CN: new_year_set, uid:1012s127p1393760, accumulative success, id:2
2018-12-29 21:26:34:458 CN: new_year_set, uid:1012s127p1393760, accumulative success, id:5
2018-12-29 21:27:09:358 CN: new_year_set, uid:1005s123p515503, accumulative success, id:2
2018-12-29 21:27:13:431 CN: new_year_set, uid:1005s123p515503, accumulative success, id:5
2018-12-29 21:51:03:793 CN: new_year_set, uid:1011s128p1389321, accumulative success, id:2
2018-12-29 21:51:07:021 CN: new_year_set, uid:1011s128p1389321, accumulative success, id:5
2018-12-29 23:26:36:300 CN: new_year_set, uid:1011s129p1410394, accumulative success, id:2
2018-12-29 23:26:39:874 CN: new_year_set, uid:1011s129p1410394, accumulative success, id:5
2018-12-29 23:38:32:593 CN: new_year_set, uid:1011s124p1358223, accumulative success, id:2
2018-12-29 23:38:39:016 CN: new_year_set, uid:1011s124p1358223, accumulative success, id:5
2018-12-30 00:11:18:195 CN: new_year_set, uid:1006s128p1395823, accumulative success, id:2
2018-12-30 00:11:55:513 CN: new_year_set, uid:1006s128p1395823, accumulative success, id:5
2018-12-30 01:26:48:580 CN: new_year_set, uid:1012s128p1402803, accumulative success, id:2
2018-12-30 01:26:49:900 CN: new_year_set, uid:1012s128p1402803, accumulative success, id:5
2018-12-30 01:29:17:398 CN: new_year_set, uid:1002s128p1403893, accumulative success, id:2
2018-12-30 01:29:19:465 CN: new_year_set, uid:1002s128p1403893, accumulative success, id:5
2018-12-30 02:42:09:400 CN: new_year_set, uid:1001s127p3537233, accumulative success, id:2
2018-12-30 02:42:10:617 CN: new_year_set, uid:1001s127p3537233, accumulative success, id:5
2018-12-30 05:37:41:678 CN: new_year_set, uid:1011s122p1337330, accumulative success, id:2
2018-12-30 05:37:47:150 CN: new_year_set, uid:1011s122p1337330, accumulative success, id:5
2018-12-30 08:20:21:049 CN: new_year_set, uid:1012s129p1084764, accumulative success, id:2
2018-12-30 08:20:27:959 CN: new_year_set, uid:1012s129p1084764, accumulative success, id:5
2018-12-30 09:03:33:955 CN: new_year_set, uid:1011s124p1358223, accumulative success, id:9
2018-12-30 09:55:45:978 CN: new_year_set, uid:1011s129p1410394, accumulative success, id:9
2018-12-30 10:03:35:614 CN: new_year_set, uid:1011s122p1335496, accumulative success, id:2
2018-12-30 10:03:37:354 CN: new_year_set, uid:1011s122p1335496, accumulative success, id:5
2018-12-30 10:08:44:715 CN: new_year_set, uid:1002s126p1388452, accumulative success, id:2
2018-12-30 10:08:49:635 CN: new_year_set, uid:1002s126p1388452, accumulative success, id:5
2018-12-30 10:39:19:513 CN: new_year_set, uid:1011s128p1403045, accumulative success, id:9
2018-12-30 10:54:14:297 CN: new_year_set, uid:1011s125p1368701, accumulative success, id:9
2018-12-30 11:14:22:013 CN: new_year_set, uid:1012s123p1353096, accumulative success, id:5
2018-12-30 11:35:55:387 CN: new_year_set, uid:1008s123p1357480, accumulative success, id:9
2018-12-30 11:43:25:003 CN: new_year_set, uid:1009s126p1382578, accumulative success, id:2
2018-12-30 11:43:29:962 CN: new_year_set, uid:1009s126p1382578, accumulative success, id:5
2018-12-30 11:49:50:655 CN: new_year_set, uid:1007s129p1414155, accumulative success, id:9
2018-12-30 11:55:59:313 CN: new_year_set, uid:1006s128p1395823, accumulative success, id:9
2018-12-30 12:13:15:207 CN: new_year_set, uid:1012s123p1353096, accumulative success, id:9
